countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
HTI,Haiti,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.608,
HUN,Hungary,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.251,
IDN,Indonesia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.497,
IND,India,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.563,
IRL,Ireland,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.163,
IRN,Iran (Islamic Republic of),GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.546,
IRQ,Iraq,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.602,
ISL,Iceland,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.092,
ISR,Israel,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.145,
ITA,Italy,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.123,
JAM,Jamaica,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.428,
JOR,Jordan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.487,
JPN,Japan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.117,
KAZ,Kazakhstan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.266,
KEN,Kenya,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.603,
KGZ,Kyrgyzstan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.363,
KHM,Cambodia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.514,
KOR,Korea (Republic of),GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.095,
KWT,Kuwait,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.209,
LAO,Lao People's Democratic Republic,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.533,
LBN,Lebanon,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.432,
LBR,Liberia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.66,
LBY,Libya,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.286,
LCA,Saint Lucia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.363,
LKA,Sri Lanka,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.415,
LSO,Lesotho,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.59,
LTU,Lithuania,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.149,
LUX,Luxembourg,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.11,
LVA,Latvia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.229,
MAR,Morocco,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.549,
MDA,Moldova (Republic of),GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.24,
MDG,Madagascar,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.607,
MDV,Maldives,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.402,
MEX,Mexico,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.417,
MKD,North Macedonia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.172,
MLI,Mali,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.667,
MLT,Malta,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.264,
MNE,Montenegro,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.21,
MNG,Mongolia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.415,
MOZ,Mozambique,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.542,
MRT,Mauritania,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.638,
MUS,Mauritius,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.373,
MWI,Malawi,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.612,
MYS,Malaysia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.264,
NAM,Namibia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.538,
NER,Niger,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.692,
NGA,Nigeria,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.67,
NIC,Nicaragua,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.47,
NLD,Netherlands,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.052,
NOR,Norway,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.07,
NPL,Nepal,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.527,
NZL,New Zealand,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.166,
OMN,Oman,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.34,
PAK,Pakistan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.593,
PAN,Panama,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.483,
PER,Peru,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.401,
PHL,Philippines,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.443,
PNG,Papua New Guinea,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.682,
POL,Poland,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.171,
PRT,Portugal,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.127,
PRY,Paraguay,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.484,
QAT,Qatar,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.669,
ROU,Romania,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.343,
RUS,Russian Federation,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.275,
RWA,Rwanda,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.453,
SAU,Saudi Arabia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.746,
SDN,Sudan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.614,
SEN,Senegal,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.576,
SGP,Singapore,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.085,
SLE,Sierra Leone,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.652,
SLV,El Salvador,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.396,
SRB,Serbia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.207,
SUR,Suriname,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.513,
SVK,Slovakia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.203,
SVN,Slovenia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.128,
SWE,Sweden,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.051,
SYR,Syrian Arab Republic,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.493,
TGO,Togo,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.627,
THA,Thailand,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.365,
TJK,Tajikistan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.369,
TLS,Timor-Leste,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.53,
TTO,Trinidad and Tobago,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.335,
TUN,Tunisia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.287,
TUR,Turkey,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.416,
TZA,Tanzania (United Republic of),GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.564,
UGA,Uganda,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.549,
UKR,Ukraine,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.296,
URY,Uruguay,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.324,
USA,United States,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.244,
UZB,Uzbekistan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.271,
VEN,Venezuela (Bolivarian Republic of),GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.489,
VNM,Viet Nam,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.363,
YEM,Yemen,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.792,
ZAF,South Africa,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.456,
ZMB,Zambia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.58,
ZWE,Zimbabwe,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.594,
ZZA.VHHD,Very High Human Development,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.223,
ZZB.HHD,High Human Development,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.384,
ZZC.MHD,Medium Human Development,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.558,
ZZD.LHD,Low Human Development,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.624,
ZZE.AS,Arab States,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.586,
ZZF.EAP,East Asia And The Pacific,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.374,
ZZG.ECA,Europe And Central Asia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.307,
ZZH.LAC,Latin America And The Caribbean,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.431,
ZZI.SA,South Asia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.557,
ZZJ.SSA,Sub-Saharan Africa,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.602,
ZZK.WORLD,World,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.503,
